dir;backbone;use_kd;T;use_refinement;entropt_thr;model_size_mb;macs;params;inference_time_ms;throughput_fps;ram_mb;GLOPS;cpu_core
timm-efficientnet-b3_unet/refinement_thr-0,05_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,05;146,96753025054932;4003157056;12484523;90,20386934280396;11,085998940906578;1087,32421875;88,7579897661974;1
timm-efficientnet-b3_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,15;146,96753025054932;4003157056;12484523;92,31196641921997;10,83283174208055;1095,31640625;86,73105364954107;1
timm-efficientnet-b3_unet/refinement_thr-0,15_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,15;146,96753025054932;4003157056;12484523;91,8285608291626;10,889858133140025;1095,32421875;87,18762484903696;1
timm-efficientnet-b3_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,25;146,96753025054932;4003157056;12484523;91,86255931854248;10,885827778131038;1103,32421875;87,15535656085213;1
timm-efficientnet-b3_unet/refinement_thr-0,25_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,25;146,96753025054932;4003157056;12484523;90,4059648513794;11,06121705181649;1099,60546875;88,5595781778534;1
timm-efficientnet-b3_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,35;146,96753025054932;4003157056;12484523;91,6088342666626;10,915977787569233;1122,5703125;87,39674700689407;1
timm-efficientnet-b3_unet/refinement_thr-0,35_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,35;146,96753025054932;4003157056;12484523;91,36664867401123;10,944912771923141;1188,2265625;87,62840958045729;1
timm-efficientnet-b3_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;0,45;146,96753025054932;4003157056;12484523;89,337158203125;11,193550590968094;1171,42578125;89,6190820598538;1
timm-efficientnet-b3_unet/refinement_thr-0,45_imagenet_dropout-0,5_lr-0,001_kd_T2,0_w-0,001_256x256;b3;True;2,0;True;0,45;146,96753025054932;4003157056;12484523;86,72547340393066;11,530637548006476;1171,44140625;92,31790612096133;1
timm-efficientnet-b3_unet/refinement_thr-1,0_imagenet_dropout-0,5_lr-0,001_256x256;b3;False;;True;1,0;146,96753025054932;4003157056;12484523;86,77213191986084;11,524437372629714;1171,44140625;92,26826556934549;1
